locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDAINPC_00078	CDS	1326	rclA_1		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MLDAINPC_00079	CDS	705				IS6 family transposase IS26
MLDAINPC_00080	CDS	855	xerC_3			Tyrosine recombinase XerC
MLDAINPC_00081	CDS	276				hypothetical protein
MLDAINPC_00082	CDS	645	mcdA	3.6.4.-	COG1192	Maintenance of carboxysome distribution protein A
MLDAINPC_00083	CDS	972	parM			Plasmid segregation protein ParM
MLDAINPC_00084	CDS	393				hypothetical protein
MLDAINPC_00085	CDS	1272	umuC_1		COG0389	Protein UmuC
MLDAINPC_00086	CDS	438	umuD_1	3.4.21.-	COG1974	Protein UmuD
MLDAINPC_00087	CDS	249				hypothetical protein
MLDAINPC_00088	CDS	927				hypothetical protein
MLDAINPC_00089	CDS	684	ccrM	2.1.1.72		DNA methyltransferase CcrM
MLDAINPC_00090	CDS	222				hypothetical protein
MLDAINPC_00091	CDS	435				hypothetical protein
MLDAINPC_00092	CDS	828				hypothetical protein
MLDAINPC_00093	CDS	426	klcA			Antirestriction protein KlcA
MLDAINPC_00094	CDS	423				hypothetical protein
MLDAINPC_00095	CDS	192				hypothetical protein
MLDAINPC_00096	CDS	231				hypothetical protein
MLDAINPC_00097	CDS	1362				hypothetical protein
MLDAINPC_00098	CDS	564				hypothetical protein
MLDAINPC_00099	CDS	540	ssb_1			Plasmid-derived single-stranded DNA-binding protein
MLDAINPC_00100	CDS	234				hypothetical protein
MLDAINPC_00101	CDS	1959	noc			Nucleoid occlusion protein
MLDAINPC_00102	CDS	435	psiB			Protein PsiB
MLDAINPC_00103	CDS	720				hypothetical protein
MLDAINPC_00104	CDS	213	flmC			Protein FlmC
MLDAINPC_00105	CDS	288				hypothetical protein
MLDAINPC_00106	CDS	822				hypothetical protein
MLDAINPC_00107	CDS	510				hypothetical protein
MLDAINPC_00108	CDS	384	traM			Relaxosome protein TraM
MLDAINPC_00109	CDS	690	traJ			Protein TraJ
MLDAINPC_00110	CDS	396	traY			Relaxosome protein TraY
MLDAINPC_00111	CDS	363	traA			Pilin
MLDAINPC_00112	CDS	312				hypothetical protein
MLDAINPC_00113	CDS	567				hypothetical protein
MLDAINPC_00114	CDS	729				hypothetical protein
MLDAINPC_00115	CDS	558	dsbE_1		COG0526	Thiol:disulfide interchange protein DsbE
MLDAINPC_00116	CDS	1932	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
MLDAINPC_00117	CDS	480	ccmE_1		COG2332	Cytochrome c-type biogenesis protein CcmE
MLDAINPC_00118	CDS	174	ccmD_1		COG3114	Heme exporter protein D
MLDAINPC_00119	CDS	747	ccmC_1		COG0755	Heme exporter protein C
MLDAINPC_00120	CDS	657	ccmB_1		COG2386	Heme exporter protein B
MLDAINPC_00121	CDS	627	ccmA_1	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
MLDAINPC_00122	CDS	1401	ccp	1.11.1.-	COG1858	Cytochrome c peroxidase Ccp
MLDAINPC_00123	CDS	633	torD_1		COG3381	Chaperone protein TorD
MLDAINPC_00124	CDS	2553	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
MLDAINPC_00125	CDS	1185	torC		COG3005	Cytochrome c-type protein TorC
MLDAINPC_00126	CDS	729	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
MLDAINPC_00127	CDS	1041	torT		COG1879	Periplasmic protein TorT
MLDAINPC_00128	CDS	2736	torS	2.7.13.3	COG0784	Sensor protein TorS
MLDAINPC_00129	CDS	1293	dgoT		COG2271	D-galactonate transporter
MLDAINPC_00130	CDS	1149	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
MLDAINPC_00131	CDS	618	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
MLDAINPC_00132	CDS	684	dgoK	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
MLDAINPC_00133	CDS	639	dgoR_1		COG2186	Galactonate operon transcriptional repressor
MLDAINPC_00134	CDS	846	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
MLDAINPC_00135	CDS	1263	sauU_1		COG2271	putative sulfoacetate transporter SauU
MLDAINPC_00136	CDS	1191	dgoD_2	4.2.1.6	COG4948	D-galactonate dehydratase
MLDAINPC_00137	CDS	897	benM_1		COG0583	HTH-type transcriptional regulator BenM
MLDAINPC_00138	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
MLDAINPC_00139	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
MLDAINPC_00140	CDS	1101	dnaN		COG0592	Beta sliding clamp
MLDAINPC_00141	CDS	1401	dnaA	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
MLDAINPC_00142	CDS	198				hypothetical protein
MLDAINPC_00143	CDS	1647	yidC			Membrane protein insertase YidC
MLDAINPC_00144	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
MLDAINPC_00145	CDS	495	intA_1		COG0582	Prophage integrase IntA
MLDAINPC_00146	CDS	711	intA_2		COG0582	Prophage integrase IntA
MLDAINPC_00147	CDS	963				hypothetical protein
MLDAINPC_00148	CDS	936	ret	2.7.7.49		Retron Vc95 reverse transcriptase
MLDAINPC_00149	CDS	162				hypothetical protein
MLDAINPC_00150	CDS	1188	mdtL		COG2814	Multidrug resistance protein MdtL
MLDAINPC_00151	CDS	960	yidZ_1		COG0583	HTH-type transcriptional regulator YidZ
MLDAINPC_00152	CDS	756				hypothetical protein
MLDAINPC_00153	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
MLDAINPC_00154	CDS	1338	adeP		COG2252	Adenine permease AdeP
MLDAINPC_00155	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
MLDAINPC_00156	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
MLDAINPC_00157	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
MLDAINPC_00158	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
MLDAINPC_00159	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
MLDAINPC_00160	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
MLDAINPC_00161	CDS	102				hypothetical protein
MLDAINPC_00162	CDS	1374	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
MLDAINPC_00163	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
MLDAINPC_00164	CDS	1791	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
MLDAINPC_00165	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
MLDAINPC_00166	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
MLDAINPC_00167	CDS	699				hypothetical protein
MLDAINPC_00168	CDS	420	atpC			ATP synthase epsilon chain
MLDAINPC_00169	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
MLDAINPC_00170	CDS	864	atpG			ATP synthase gamma chain
MLDAINPC_00171	CDS	1542	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
MLDAINPC_00172	CDS	534	atpH		COG0712	ATP synthase subunit delta
MLDAINPC_00173	CDS	471	atpF		COG0711	ATP synthase subunit b
MLDAINPC_00174	CDS	240	atpE			ATP synthase subunit c
MLDAINPC_00175	CDS	816	atpB		COG0356	ATP synthase subunit a
MLDAINPC_00176	CDS	381	atpI		COG3312	ATP synthase protein I
MLDAINPC_00177	CDS	624	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
MLDAINPC_00178	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
MLDAINPC_00179	CDS	444	mioC		COG0716	Protein MioC
MLDAINPC_00180	CDS	459	asnC		COG1522	Regulatory protein AsnC
MLDAINPC_00181	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
MLDAINPC_00182	CDS	1452	viaA		COG2425	Regulatory protein ViaA
MLDAINPC_00183	CDS	1497	ravA	3.6.1.-	COG0714	Regulatory ATPase RavA
MLDAINPC_00184	CDS	1869	kup		COG3158	Low affinity potassium transport system protein Kup
MLDAINPC_00185	CDS	420	rbsD	5.4.99.62		D-ribose pyranase
MLDAINPC_00186	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
MLDAINPC_00187	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
MLDAINPC_00188	CDS	891	rbsB			Ribose import binding protein RbsB
MLDAINPC_00189	CDS	930	rbsK	2.7.1.15	COG0524	Ribokinase
MLDAINPC_00190	CDS	990	rbsR		COG1609	Ribose operon repressor
MLDAINPC_00191	CDS	1428	hsrA		COG0477	putative transport protein HsrA
MLDAINPC_00192	CDS	705	dgoR_2		COG2186	Galactonate operon transcriptional repressor
MLDAINPC_00193	CDS	255				hypothetical protein
MLDAINPC_00194	tRNA	76				tRNA-Glu(ttc)
MLDAINPC_00195	tRNA	77				tRNA-Asp(gtc)
MLDAINPC_00196	tRNA	76				tRNA-Trp(cca)
MLDAINPC_00197	CDS	837	hdfR_2			HTH-type transcriptional regulator HdfR
MLDAINPC_00198	CDS	339	maoP		COG3085	Macrodomain Ori protein
MLDAINPC_00199	CDS	1521	comM		COG0606	Competence protein ComM
MLDAINPC_00200	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
MLDAINPC_00201	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
MLDAINPC_00202	CDS	930	ilvE	2.6.1.42		Branched-chain-amino-acid aminotransferase
MLDAINPC_00203	CDS	1851	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MLDAINPC_00204	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
MLDAINPC_00205	CDS	318				hypothetical protein
MLDAINPC_00206	CDS	342				hypothetical protein
MLDAINPC_00207	CDS	888	gltC_1		COG0583	Transcriptional dual regulator GltC
MLDAINPC_00208	CDS	1476	ilvC	1.1.1.86		Ketol-acid reductoisomerase (NADP(+))
MLDAINPC_00209	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
MLDAINPC_00210	CDS	2025	rep	5.6.2.4	COG0210	ATP-dependent DNA helicase Rep
MLDAINPC_00211	CDS	1482	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
MLDAINPC_00212	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
MLDAINPC_00213	CDS	330	trxA		COG3118	Thioredoxin 1
MLDAINPC_00214	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
MLDAINPC_00215	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
MLDAINPC_00216	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
MLDAINPC_00217	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
MLDAINPC_00218	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
MLDAINPC_00219	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
MLDAINPC_00220	CDS	225				hypothetical protein
MLDAINPC_00221	CDS	678	wecD	2.3.1.210	COG0456	dTDP-fucosamine acetyltransferase
MLDAINPC_00222	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
MLDAINPC_00223	CDS	1251	wzxE		COG2244	Lipid III flippase
MLDAINPC_00224	CDS	1080	wecF	2.4.1.325	COG0554	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
MLDAINPC_00225	CDS	1359	wzyE			putative ECA polymerase
MLDAINPC_00226	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
MLDAINPC_00227	CDS	1386	thrP		COG1113	Threonine/serine transporter ThrP
MLDAINPC_00228	tRNA	77				tRNA-Arg(ccg)
MLDAINPC_00229	tRNA	76				tRNA-His(gtg)
MLDAINPC_00230	tRNA	87				tRNA-Leu(cag)
MLDAINPC_00231	tRNA	77				tRNA-Pro(tgg)
MLDAINPC_00232	CDS	1200	hemY		COG3071	Protein HemY
MLDAINPC_00233	CDS	1170	hemX		COG2959	Protein HemX
MLDAINPC_00234	CDS	741	hemD	4.2.1.75		Uroporphyrinogen-III synthase
MLDAINPC_00235	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
MLDAINPC_00236	CDS	2547	cyaA			adenylate cyclase CyaA
MLDAINPC_00237	CDS	354				hypothetical protein
MLDAINPC_00238	CDS	516				hypothetical protein
MLDAINPC_00239	CDS	363				hypothetical protein
MLDAINPC_00240	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
MLDAINPC_00241	CDS	390				hypothetical protein
MLDAINPC_00242	CDS	93				hypothetical protein
MLDAINPC_00243	CDS	252				hypothetical protein
MLDAINPC_00244	CDS	204	lptM		COG5567	LPS-assembly lipoprotein LptM
MLDAINPC_00245	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
MLDAINPC_00246	CDS	708				hypothetical protein
MLDAINPC_00247	CDS	903	xerC_4		COG4973	Tyrosine recombinase XerC
MLDAINPC_00248	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
MLDAINPC_00249	CDS	2163	uvrD	5.6.2.4	COG0210	DNA helicase II
MLDAINPC_00250	CDS	951	corA			Magnesium transport protein CorA
MLDAINPC_00251	CDS	381				hypothetical protein
MLDAINPC_00252	CDS	459	yigG			Inner membrane protein YigG
MLDAINPC_00253	CDS	885	rarD_1		COG2962	Protein RarD
MLDAINPC_00254	CDS	468	yigI	3.1.2.20	COG2050	Medium/long-chain acyl-CoA thioesterase YigI
MLDAINPC_00255	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
MLDAINPC_00256	CDS	1848	recQ	5.6.2.4	COG0514	ATP-dependent DNA helicase RecQ
MLDAINPC_00257	CDS	621	rhtC_1		COG1280	Threonine efflux protein
MLDAINPC_00258	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
MLDAINPC_00259	CDS	1017	pldB	3.1.1.5	COG2267	Lysophospholipase L2
MLDAINPC_00260	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
MLDAINPC_00261	CDS	900	bioP		COG0697	Biotin transporter
MLDAINPC_00262	CDS	954	metR		COG0583	HTH-type transcriptional regulator MetR
MLDAINPC_00263	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
MLDAINPC_00264	CDS	1296	chuR_1	1.1.98.7	COG0641	Serine-type anaerobic sulfatase-maturating enzyme
MLDAINPC_00265	CDS	813				hypothetical protein
MLDAINPC_00266	CDS	762	udp	2.4.2.3		Uridine phosphorylase
MLDAINPC_00267	CDS	1431				hypothetical protein
MLDAINPC_00268	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
MLDAINPC_00269	CDS	606	ubiJ		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
MLDAINPC_00270	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
MLDAINPC_00271	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
MLDAINPC_00272	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
MLDAINPC_00273	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
MLDAINPC_00274	CDS	795	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
MLDAINPC_00275	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
MLDAINPC_00276	CDS	1479	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
MLDAINPC_00277	CDS	702	fre	1.5.1.41		NAD(P)H-flavin reductase
MLDAINPC_00278	CDS	1824	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
MLDAINPC_00279	CDS	1164	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
MLDAINPC_00280	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
MLDAINPC_00281	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
MLDAINPC_00282	CDS	615	yigZ		COG1739	IMPACT family member YigZ
MLDAINPC_00283	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
MLDAINPC_00284	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [quinone]
MLDAINPC_00285	CDS	255				hypothetical protein
MLDAINPC_00286	tRNA	77				tRNA-Ile(gat)
MLDAINPC_00287	tRNA	76				tRNA-Ala(tgc)
MLDAINPC_00288	CDS	531	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
MLDAINPC_00289	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
MLDAINPC_00290	CDS	270	yihD		COG3084	Protein YihD
MLDAINPC_00291	CDS	987	rdoA	2.7.11.1		Serine/threonine protein kinase RdoA
MLDAINPC_00292	CDS	624	dsbA			Thiol:disulfide interchange protein DsbA
MLDAINPC_00293	CDS	909	yihG	2.3.1.51	COG0204	1-acylglycerol-3-phosphate O-acyltransferase YihG
MLDAINPC_00294	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
MLDAINPC_00295	CDS	633	engB		COG0218	putative GTP-binding protein EngB
MLDAINPC_00296	CDS	198				hypothetical protein
MLDAINPC_00297	CDS	516	yihI		COG3078	Der GTPase-activating protein YihI
MLDAINPC_00298	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
MLDAINPC_00299	CDS	111	yshB			putative protein YshB
MLDAINPC_00300	CDS	1410	glnG			DNA-binding transcriptional regulator NtrC
MLDAINPC_00301	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
MLDAINPC_00302	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
MLDAINPC_00303	CDS	1824	bipA	3.6.5.-		Large ribosomal subunit assembly factor BipA
MLDAINPC_00304	CDS	735	ybhA_1	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
MLDAINPC_00305	CDS	879				hypothetical protein
MLDAINPC_00306	CDS	1242	hemW_1		COG0635	Heme chaperone HemW
MLDAINPC_00307	CDS	876				hypothetical protein
MLDAINPC_00308	CDS	1026				hypothetical protein
MLDAINPC_00309	CDS	849				hypothetical protein
MLDAINPC_00310	CDS	693	ompL		COG1452	Porin OmpL
MLDAINPC_00311	CDS	1422	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
MLDAINPC_00312	CDS	1383	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
MLDAINPC_00313	CDS	2037	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
MLDAINPC_00314	CDS	843	yihR		COG2017	putative protein YihR
MLDAINPC_00315	CDS	1242	yihS	5.3.1.31		Sulfoquinovose isomerase
MLDAINPC_00316	CDS	879	yihT	4.1.2.57		Sulfofructosephosphate aldolase
MLDAINPC_00317	CDS	897	yihU	1.1.1.373	COG2084	3-sulfolactaldehyde reductase
MLDAINPC_00318	CDS	897	yihV	2.7.1.184	COG0524	Sulfofructose kinase
MLDAINPC_00319	CDS	804	csqR		COG1349	HTH-type transcriptional repressor CsqR
MLDAINPC_00320	CDS	600	yihX	3.1.3.10	COG1011	Alpha-D-glucose 1-phosphate phosphatase YihX
MLDAINPC_00321	CDS	780				hypothetical protein
MLDAINPC_00322	CDS	438	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
MLDAINPC_00323	CDS	942	fabY	2.3.1.-	COG0456	putative acyltransferase FabY
MLDAINPC_00324	CDS	447	higA		COG5499	Antitoxin HigA
MLDAINPC_00325	CDS	312	higB	3.1.-.-	COG4680	mRNA interferase toxin HigB
MLDAINPC_00326	CDS	930	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
MLDAINPC_00327	CDS	312	higB-2		COG4737	Toxin HigB-2
MLDAINPC_00328	CDS	291				hypothetical protein
MLDAINPC_00329	CDS	930	fdhE		COG3058	Protein FdhE
MLDAINPC_00330	CDS	636	fdoI		COG2864	Formate dehydrogenase, cytochrome b556(fdo) subunit
MLDAINPC_00331	CDS	903	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
MLDAINPC_00332	CDS	2415	fdoG_1	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
MLDAINPC_00333	CDS	588	fdoG_2	1.17.1.9	COG0243	Formate dehydrogenase-O major subunit
MLDAINPC_00334	CDS	837	fdhD		COG1526	Sulfur carrier protein FdhD
MLDAINPC_00335	CDS	1032				hypothetical protein
MLDAINPC_00336	CDS	1101				hypothetical protein
MLDAINPC_00337	CDS	324				hypothetical protein
MLDAINPC_00338	CDS	660				hypothetical protein
MLDAINPC_00339	CDS	549	sutR_1		COG1396	HTH-type transcriptional regulator SutR
MLDAINPC_00340	CDS	315	rhaM	5.1.3.32	COG3254	L-rhamnose mutarotase
MLDAINPC_00341	CDS	1149	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
MLDAINPC_00342	CDS	828	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
MLDAINPC_00343	CDS	1260	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
MLDAINPC_00344	CDS	1470	rhaB	2.7.1.5		Rhamnulokinase
MLDAINPC_00345	CDS	837	rhaS_1		COG4977	HTH-type transcriptional activator RhaS
MLDAINPC_00346	CDS	849	rhaR_1		COG1917	HTH-type transcriptional activator RhaR
MLDAINPC_00347	CDS	1035	rhaT			L-rhamnose-proton symporter
MLDAINPC_00348	CDS	672	kdgM_1		COG1452	Oligogalacturonate-specific porin KdgM
MLDAINPC_00349	CDS	1308	dctMQ_1		COG1593	Isethionate TRAP transporter permease protein DctMQ
MLDAINPC_00350	CDS	516				hypothetical protein
MLDAINPC_00351	CDS	984			COG1638	Solute-binding protein
MLDAINPC_00352	CDS	621	sodA	1.15.1.1		Superoxide dismutase [Mn]
MLDAINPC_00353	CDS	690	yiiM		COG2258	Protein YiiM
MLDAINPC_00354	CDS	396				hypothetical protein
MLDAINPC_00355	CDS	1374	cpxA			envelope stress sensor histidine kinase CpxA
MLDAINPC_00356	CDS	699	cpxR		COG0745	Transcriptional regulatory protein CpxR
MLDAINPC_00357	CDS	501	cpxP		COG3678	Periplasmic protein CpxP
MLDAINPC_00358	CDS	903	fieF		COG0053	Cation-efflux pump FieF
